id,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification (grade),Admission grade,Displaced,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Unemployment rate,GDP,Target
93473,39,1,9254,1,133.1,120.0,0,1,0,1,0,29,0,6,12,0,0.0,0,6,12,0,0.0,9.4,-3.12,Graduate
123309,1,1,9070,1,145.0,138.4,0,0,1,0,1,18,0,6,6,6,13.0,0,6,11,5,12.0,15.5,-4.06,Graduate
34437,1,4,9773,1,119.0,118.7,1,0,1,0,0,20,0,6,0,0,0.0,0,6,0,0,0.0,8.9,3.51,Dropout
8851,43,1,9085,1,106.0,106.0,0,0,1,0,0,20,0,6,12,5,13.0,0,6,11,5,13.0,13.9,0.79,Enrolled
107496,17,1,9500,1,125.0,122.5,1,0,1,0,0,20,0,7,9,6,11.833333333333334,0,8,12,6,11.833333333333334,16.2,-0.92,Graduate
120603,1,1,9773,1,130.0,131.1,1,0,1,1,1,18,0,6,7,5,13.2,0,6,6,6,12.5,11.1,2.02,Graduate
41967,43,1,9670,1,133.1,128.2,1,0,1,0,0,28,0,5,5,0,0.0,0,5,5,0,0.0,7.6,0.32,Dropout
114593,43,1,9238,1,147.0,133.0,0,0,1,0,0,20,0,6,0,0,0.0,0,6,0,0,0.0,13.9,0.79,Graduate
85651,17,3,9254,1,123.0,113.2,0,0,1,0,0,18,0,6,0,0,0.0,0,6,0,0,0.0,15.5,-4.06,Graduate
65357,1,1,9254,1,125.0,114.5,1,0,1,0,1,19,0,6,6,6,12.833333333333334,0,6,7,6,12.857142857142858,12.4,1.79,Graduate
41630,43,1,9853,1,136.0,125.7,1,0,1,0,0,22,17,18,23,18,13.333333333333334,11,17,21,16,13.0,15.5,-4.06,Graduate
127213,51,1,9147,1,141.0,130.0,0,1,1,1,0,28,0,5,5,0,0.0,0,5,5,0,0.0,11.1,2.02,Graduate
33080,1,1,9773,1,136.0,122.8,1,0,1,1,0,20,0,6,7,6,13.333333333333334,0,6,9,4,11.25,12.4,1.79,Graduate
55028,1,2,9500,1,125.0,119.4,1,0,1,0,0,20,0,7,8,7,12.95,0,8,8,8,13.76125,13.9,0.79,Graduate
93360,7,1,171,1,140.0,140.0,0,0,1,0,0,18,0,0,0,0,0.0,0,0,0,0,0.0,12.7,-1.7,Graduate
126632,39,1,9003,1,120.0,111.3,0,0,0,1,0,25,0,6,7,6,13.666666666666666,0,6,6,6,13.5,13.9,0.79,Graduate
57341,1,1,9254,1,141.0,128.4,0,0,1,0,0,19,0,6,13,4,12.5,0,6,8,4,11.2,15.5,-4.06,Enrolled
29182,1,1,9254,1,130.0,133.9,1,0,1,0,0,18,0,6,13,6,11.333333333333334,0,6,12,3,12.0,9.4,-3.12,Enrolled
76800,1,1,9147,1,141.0,128.8,1,0,1,0,0,18,0,5,6,4,11.5,0,5,5,5,12.4,9.4,-3.12,Graduate
26251,17,1,9238,1,106.0,106.0,1,1,1,0,0,20,0,6,9,5,11.333333333333334,0,6,8,6,12.166666666666666,13.9,0.79,Enrolled
111547,1,2,171,1,163.0,155.6,1,0,1,0,0,18,0,0,0,0,0.0,0,0,0,0,0.0,13.9,0.79,Graduate
29896,17,5,9254,1,145.0,129.9,0,1,1,0,0,19,0,6,13,3,11.0,0,6,13,2,10.0,8.9,3.51,Enrolled
112397,17,1,9670,1,133.1,95.0,1,0,0,1,0,22,0,6,0,0,0.0,0,6,0,0,0.0,15.5,-4.06,Graduate
33805,1,3,9500,1,135.0,122.5,1,0,1,0,1,19,0,8,8,8,13.937142857142858,0,8,8,8,13.937142857142858,9.4,-3.12,Graduate
36521,17,1,9853,1,137.0,131.0,1,1,1,0,0,20,0,7,7,7,13.857142857142858,0,7,7,7,14.428571428571429,11.1,2.02,Graduate
123610,1,3,9500,1,132.0,119.3,1,0,1,0,0,20,0,8,11,7,13.585714285714284,0,8,11,7,13.585714285714284,12.7,-1.7,Graduate
46821,39,1,9556,1,133.1,114.8,0,0,1,0,0,28,0,7,11,2,10.25,0,7,15,1,11.0,12.4,1.79,Dropout
81398,17,3,9147,1,122.0,116.8,1,0,1,0,0,19,0,5,12,4,11.0,0,5,10,4,11.25,9.4,-3.12,Graduate
